Name, description, mass, has ocean, has solid surface, altitude, rotation period, radius, mu, soi radius, apoapsis, periapsis, period, inclination, eccentricity, LAN
Kerbin, "<color=#436BD8>Our new home.</color> Rhode is the only habitable planet discovered by the Riftwalker expedition, named after its primary colony vessel. All other ventures beyond home had failed. This is the last known harbour for life. The colonization of Rhode has been ongoing for hundreds of years and will not complete for a long time, but it is suitable for Kerbal life at its current state. As the Tempus system is very young, Rhode is likely to be habitable for billions of years to come.", 2.32085975520222E+22, True, True, 27883359719, 47283.2063245528, 450000, 1548960367500, 101362792.687937, 27883359719, 27883359719, 20982058.5192564, 0, 0, 0
Rock, "Barraged by craters and beaten by a collision with a small moon, Rock resides alone in the black. Its surface gravity is high but so is its resource content, so the trip would be worthwhile if it wasn't for the lack of breathable air and, oh, an atmosphere.", 3.01219531381104E+22, False, True, 57138346251.5535, 120000, 500000, 2010363250000, 235233163.65478, 59467521066.68, 57135422201.32, 63436253.8637209, 0.01, 0.02, 220
Fury, "<color=#FF6A00>[THERMAL HAZARD]</color> Fury is the innermost planet. It is incredibly heavy and has a very thick atmosphere. Lava has been detected on its surface, making it completely inhospitable for any form of life. It's likely that Fury formed from an impact with its moon and has not cooled down due to its proximity to the two stars. <color=#32B0FF>Science bonuses will be extreme for returning data from Fury's lava lakes.</color>", 7.41587792624601E+22, True, True, 11739339625.5978, 2198188, 700000, 4949416255000, 66412681.7047447, 12328115977.31, 10629131652.69, 5542408.90487549, 0.034, 0.074, 0
Anger, "Anger is believed to have formed through a massive collision with its parent planet, resulting in the partial destruction of Fury. Due to its proximity to the stars, Anger glows a subtle red colour when being shone on by Fate. We do not consider Anger to be hazardous, but we advise any future expeditions to this world to be careful.", 4.94293904178553E+18, False, True, 2067996, 13006.2190917138, 29000, 329895706, 59114.569493346, 2067996, 2067996, 13006.2190917138, 0, 0, 43
Destiny, "Destiny is the primary star of the Tempus system. It glows whiter than Kerbol ever did and has billions of years left of its lifespan. Its luminosity is due to increase by 10% over the course of its main sequence life, which is abnormally low for a star of this size, making it a strong candidate for supporting a very stable system.", 1.75654591319326E+28, False, False, 1431814796.98, 1000000, 525000000, 1.17233279483249E+18, 1170340386.38986, 1431814796.98, 1431814796.98, 326835.702968, 5, 0, 0
Fate, "Fate is the sister star to Destiny. It orbits the Tempus System Barycenter in a binary configuration. Its thermal output is low compared to Destiny but it makes up 25% of the light coming from this region of space. It is rumoured that Fate is a stabiliser for Destiny. Due to the stars' close proximity, Fate's mass is projected to decrease more per millenia than the average red dwarf star and this suggests that Destiny will use Fate as a fuel source over billions of years to prolong its lifespan. For now, we can enjoy the two pretty lights in the night sky.", 1.15654591319326E+28, False, False, 3171009791, 1000000, 125000000, 7.71887994832488E+17, 2192088088.68112, 3171009791, 3171009791, 326835.702968, 5, 0, 0
Hydrus, "<color=#C9F1FF>[MAGNETIC ANOMALY | PRESSURE WARNING]</color> Smothered in cloud, Hydrus resides closer to the binary stars than Rhode. Its atmosphere is thicker than ours and so a pressure warning has been issued for this world. Its core is under <color=#FF752B>heavy magnetic strain</color>. Metallic material has clumped together in its atmosphere and it is believed these are solid objects. EXTREME CAUTION is advised when entering Hydrus' atmosphere. <color=#32B0FF>Science bonuses will be awarded for returning science from Hydrus' peaks and poles.</color>", 2.64595644455865E+21, True, True, 20856940225.7523, 132000, 245000, 176593249875, 32002737.5916009, 21612890510.57, 20353828927.43, 13697795.0088258, 0.7, 0.03, 56
Hydron, "Hydron was involved in the creation of its parent planet, Hydrus. It's likely that this violent collision between the two is what formed Hydrus' incredibly thick atmosphere. Hydron's main surface colour absorbs 96% of all light that hits it, making it darker than the surrounding nebulae. <color=#32B0FF>Science bonuses will be awarded for landing in the canyons of Hydron.</color>", 4.4691824321929E+18, False, True, 1861784, 21894, 23100, 298276810.8705, 163937.447270333, 1861784, 1861784, 45721.7490889353, 1, 0, 43
Lua, "Lua, Rhode's second largest moon, is undergoing partial terraforming. Progress is around 30% complete and has been temporarily halted to due a lack of funding. At current, the atmosphere is far too thin to be breathable but there is a small space port on the surface. This space port can be reopened for 7,000,000. It is a hugely valuable asset. Lua's terraforming is due to resume in 5 years, but progress will be slow. <color=#32B0FF> Science bonuses will be awarded for gathering data from around the polar highlands of Lua.</color>", 5.86438281255244E+20, True, True, 4000000, 47283.2063245528, 156000, 39139360041.6, 1021855.24113329, 4000000, 4000000, 47283.2063245528, 0, 0, 0
Armstrong, "Armstrong is the smallest tracked body in the Tempus system. We're lucky enough to have it as a moon as it offers rich ore deposits for future missions beyond Rhode. There have been no plans for a base here yet.", 2.64485442188287E+18, False, True, 9007760.84714567, 160400, 20000, 176519700, 225147.202690225, 9162665.92, 6950902.08, 125258.678002227, 3, 0.13, 43
